ID,Accession,RPM,Chromosome,Start,End,Strand,Confidence,Fetch
"hsa-mir-103b-2",MI0007262,"-",chr20,3917502,3917563,"-","-",""
"hsa-mir-105-1",MI0000111,152,chrX,152392219,152392299,"-","",""
"hsa-mir-105-2",MI0000112,152,chrX,152394412,152394492,"-","",""
"hsa-mir-106a",MI0000113,"4.41e+03",chrX,134170198,134170278,"-","",""
"hsa-mir-106b",MI0000734,"2.46e+03",chr7,100093993,100094074,"-","",""
"hsa-mir-107",MI0000114,"3.55e+04",chr10,89592747,89592827,"-","-",""
"hsa-mir-122",MI0000442,292,chr18,58451074,58451158,"+","-",""
"hsa-mir-124-1",MI0000443,801,chr8,9903388,9903472,"-","-",""
"hsa-mir-124-2",MI0000444,818,chr8,64379149,64379257,"+","-",""
"hsa-mir-124-3",MI0000445,760,chr20,63178500,63178586,"+","-",""
"hsa-mir-125a",MI0000469,"4.02e+03",chr19,51693254,51693339,"+","",""
"hsa-mir-125b-1",MI0000446,"7.47e+03",chr11,122099757,122099844,"-","",""
"hsa-mir-125b-2",MI0000470,"7.32e+03",chr21,16590237,16590325,"+","",""
"hsa-mir-126",MI0000471,"1.1e+04",chr9,136670602,136670686,"+","",""
"hsa-mir-127",MI0000472,"2.09e+03",chr14,100882979,100883075,"+","-",""
"hsa-mir-128-1",MI0000447,"4.19e+03",chr2,135665397,135665478,"+","",""
"hsa-mir-128-2",MI0000727,"3.98e+03",chr3,35744476,35744559,"+","",""
"hsa-mir-129-1",MI0000252,"1.18e+03",chr7,128207872,128207943,"+","",""
"hsa-mir-129-2",MI0000473,"1.17e+03",chr11,43581394,43581483,"+","",""
"hsa-mir-130a",MI0000448,"5.44e+03",chr11,57641198,57641286,"+","-",""
"hsa-mir-130b",MI0000748,"1.49e+03",chr22,21653304,21653385,"+","",""
"hsa-mir-132",MI0000449,616,chr17,2049908,2050008,"-","",""
"hsa-mir-133a-1",MI0000450,"2.05e+03",chr18,21825698,21825785,"-","",""
"hsa-mir-133a-2",MI0000451,"2.05e+03",chr20,62564912,62565013,"+","",""
"hsa-mir-133b",MI0000822,"1.42e+03",chr6,52148923,52149041,"+","-",""
"hsa-mir-134",MI0000474,568,chr14,101054687,101054759,"+","",""
"hsa-mir-135a-1",MI0000452,719,chr3,52294219,52294308,"-","",""
"hsa-mir-135a-2",MI0000453,846,chr12,97563812,97563911,"+","-",""
"hsa-mir-135b",MI0000810,699,chr1,205448302,205448398,"-","",""
"hsa-mir-136",MI0000475,"1.04e+03",chr14,100884702,100884783,"+","",""
"hsa-mir-137",MI0000454,120,chr1,98046070,98046171,"-","-",""
"hsa-mir-138-1",MI0000476,850,chr3,44114212,44114310,"+","",""
"hsa-mir-138-2",MI0000455,859,chr16,56858518,56858601,"+","-",""
"hsa-mir-139",MI0000261,495,chr11,72615063,72615130,"-","",""
"hsa-mir-140",MI0000456,"9.46e+03",chr16,69933081,69933180,"+","",""
"hsa-mir-141",MI0000457,"3.72e+03",chr12,6964097,6964191,"+","",""
"hsa-mir-142",MI0000458,"1.3e+04",chr17,58331232,58331318,"-","-",""
"hsa-mir-143",MI0000459,"2.47e+04",chr5,149428918,149429023,"+","",""
"hsa-mir-144",MI0000460,"3.44e+03",chr17,28861533,28861618,"-","",""
"hsa-mir-145",MI0000461,"2.39e+04",chr5,149430646,149430733,"+","-",""
"hsa-mir-146a",MI0000477,"6.67e+03",chr5,160485352,160485450,"+","",""
"hsa-mir-146b",MI0003129,"4.26e+03",chr10,102436512,102436584,"+","-",""
"hsa-mir-147a",MI0000262,719,chr9,120244979,120245050,"-","-",""
"hsa-mir-147b",MI0005544,720,chr15,45433050,45433129,"+","-",""
"hsa-mir-148a",MI0000253,"4.3e+03",chr7,25949919,25949986,"-","",""
"hsa-mir-148b",MI0000811,"1.1e+03",chr12,54337216,54337314,"+","",""
"hsa-mir-149",MI0000478,913,chr2,240456001,240456089,"+","",""
"hsa-mir-150",MI0000479,"2.64e+03",chr19,49500785,49500868,"-","",""
"hsa-mir-151a",MI0000809,"7.65e+03",chr8,140732564,140732653,"-","",""
"hsa-mir-151b",MI0003772,"4.29e+03",chr14,100109419,100109514,"-","-",""
"hsa-mir-152",MI0000462,"1.62e+03",chr17,48037161,48037247,"-","",""
"hsa-mir-153-1",MI0000463,153,chr2,219294111,219294200,"-","-",""
"hsa-mir-153-2",MI0000464,159,chr7,157574336,157574422,"-","-",""
"hsa-mir-154",MI0000480,202,chr14,101059755,101059838,"+","",""
"hsa-mir-155",MI0000681,"2.94e+03",chr21,25573980,25574044,"+","",""
"hsa-mir-181a-1",MI0000289,"7.78e+03",chr1,198859044,198859153,"-","",""
"hsa-mir-181a-2",MI0000269,"7.01e+03",chr9,124692442,124692551,"+","-",""
"hsa-mir-181b-1",MI0000270,"4.24e+03",chr1,198858873,198858982,"-","-",""
"hsa-mir-181b-2",MI0000683,"4.37e+03",chr9,124693710,124693798,"+","",""
"hsa-mir-181c",MI0000271,"1.22e+03",chr19,13874699,13874808,"+","-",""
"hsa-mir-181d",MI0003139,"3.65e+03",chr19,13874875,13875011,"+","",""
"hsa-mir-182",MI0000272,"1.58e+03",chr7,129770383,129770492,"-","",""
"hsa-mir-183",MI0000273,844,chr7,129774905,129775014,"-","",""
"hsa-mir-184",MI0000481,595,chr15,79209788,79209871,"+","-",""
"hsa-mir-185",MI0000482,"5.32e+03",chr22,20033139,20033220,"+","",""
"hsa-mir-186",MI0000483,"2.37e+03",chr1,71067631,71067716,"-","",""
"hsa-mir-187",MI0000274,331,chr18,35904818,35904926,"-","-",""
"hsa-mir-188",MI0000484,642,chrX,50003503,50003588,"+","",""
"hsa-mir-190a",MI0000486,703,chr15,62823957,62824041,"+","",""
"hsa-mir-190b",MI0005545,199,chr1,154193665,154193743,"-","-",""
"hsa-mir-191",MI0000465,"1.24e+04",chr3,49020618,49020709,"-","",""
"hsa-mir-192",MI0000234,"4.81e+03",chr11,64891137,64891246,"-","",""
"hsa-mir-193a",MI0000487,"3.28e+03",chr17,31559996,31560083,"+","",""
"hsa-mir-193b",MI0003137,"1.96e+03",chr16,14303967,14304049,"+","",""
"hsa-mir-194-1",MI0000488,381,chr1,220118157,220118241,"-","-",""
"hsa-mir-194-2",MI0000732,535,chr11,64891355,64891439,"-","",""
"hsa-mir-195",MI0000489,"3.34e+03",chr17,7017615,7017701,"-","",""
"hsa-mir-196a-1",MI0000238,"1.21e+03",chr17,48632490,48632559,"-","-",""
"hsa-mir-196a-2",MI0000279,"1.37e+03",chr12,53991738,53991847,"+","",""
"hsa-mir-196b",MI0001150,"1.21e+03",chr7,27169480,27169563,"-","",""
"hsa-mir-197",MI0000239,"1.42e+03",chr1,109598893,109598967,"+","",""
"hsa-mir-198",MI0000240,107,chr3,120395668,120395729,"-","-",""
"hsa-mir-199a-1",MI0000242,"7.48e+03",chr19,10817426,10817496,"-","",""
"hsa-mir-199a-2",MI0000281,"7.63e+03",chr1,172144535,172144644,"-","",""
"hsa-mir-199b",MI0000282,"6.16e+03",chr9,128244721,128244830,"-","",""
"hsa-mir-200a",MI0000737,"2.4e+03",chr1,1167863,1167952,"+","",""
"hsa-mir-200b",MI0000342,"6.62e+03",chr1,1167104,1167198,"+","",""
"hsa-mir-200c",MI0000650,"8.46e+03",chr12,6963699,6963766,"+","",""
"hsa-mir-202",MI0003130,"1.7e+03",chr10,133247511,133247620,"-","",""
"hsa-mir-203a",MI0000283,"2.75e+03",chr14,104117405,104117514,"+","",""
"hsa-mir-203b",MI0017343,15.8,chr14,104117418,104117503,"-","-",""
"hsa-mir-204",MI0000284,"1.59e+03",chr9,70809975,70810084,"-","-",""
"hsa-mir-205",MI0000285,"1.01e+04",chr1,209432133,209432242,"+","-",""
"hsa-mir-206",MI0000490,"1.86e+03",chr6,52144349,52144434,"+","-",""
"hsa-mir-208a",MI0000251,205,chr14,23388596,23388666,"-","-",""
"hsa-mir-208b",MI0005570,779,chr14,23417987,23418063,"-","",""
"hsa-mir-210",MI0000286,"2.05e+03",chr11,568089,568198,"-","",""
"hsa-mir-211",MI0000287,"9.29e+03",chr15,31065032,31065141,"-","",""
"hsa-mir-212",MI0000288,285,chr17,2050271,2050380,"-","-",""
"hsa-mir-214",MI0000290,"2.16e+03",chr1,172138798,172138907,"-","-",""
"hsa-mir-215",MI0000291,"1.95e+03",chr1,220117853,220117962,"-","-",""
"hsa-mir-216a",MI0000292,159,chr2,55988950,55989059,"-","-",""
"hsa-mir-216b",MI0005569,188,chr2,56000714,56000795,"-","-",""
"hsa-mir-217",MI0000293,315,chr2,55982967,55983076,"-","-",""
"hsa-mir-218-1",MI0000294,"1.46e+03",chr4,20528275,20528384,"+","",""
"hsa-mir-218-2",MI0000295,"1.38e+03",chr5,168768146,168768255,"-","-",""
"hsa-mir-219a-1",MI0000296,163,chr6,33207835,33207944,"+","",""
"hsa-mir-219a-2",MI0000740,"1.04e+03",chr9,128392618,128392714,"-","",""
"hsa-mir-219b",MI0017299,23.2,chr9,128392621,128392708,"+","",""
"hsa-mir-221",MI0000298,"8.06e+03",chrX,45746157,45746266,"-","",""
"hsa-mir-222",MI0000299,"5.15e+03",chrX,45747015,45747124,"-","",""
"hsa-mir-223",MI0000300,"5.81e+03",chrX,66018870,66018979,"+","",""
"hsa-mir-224",MI0000301,620,chrX,151958578,151958658,"-","-",""
"hsa-mir-296",MI0000747,355,chr20,58817615,58817694,"-","",""
"hsa-mir-297",MI0005775,52.3,chr4,110860582,110860647,"-","-",""
"hsa-mir-298",MI0005523,16.3,chr20,58818226,58818313,"-","-",""
"hsa-mir-299",MI0000744,399,chr14,101023794,101023856,"+","",""
"hsa-mir-300",MI0005525,56.7,chr14,101041363,101041445,"+","-",""
"hsa-mir-301a",MI0000745,582,chr17,59151136,59151221,"-","",""
"hsa-mir-301b",MI0005568,124,chr22,21652981,21653058,"+","",""
"hsa-mir-302a",MI0000738,"1.87e+04",chr4,112648183,112648251,"-","",""
"hsa-mir-302b",MI0000772,"4.58e+04",chr4,112648485,112648557,"-","-",""
"hsa-mir-302c",MI0000773,"1.35e+05",chr4,112648363,112648430,"-","",""
"hsa-mir-302d",MI0000774,"6.57e+04",chr4,112648004,112648071,"-","-",""
"hsa-mir-302e",MI0006417,"8.41e+03",chr11,7234766,7234837,"+","-",""
"hsa-mir-302f",MI0006418,"3.42e+03",chr18,30298910,30298960,"+","-",""
"hsa-mir-320a",MI0000542,"1.28e+04",chr8,22244962,22245043,"-","-",""
"hsa-mir-320b-1",MI0003776,"9.8e+03",chr1,116671749,116671827,"+","-",""
"hsa-mir-320b-2",MI0003839,"1.05e+04",chr1,224257004,224257141,"-","-",""
"hsa-mir-320c-1",MI0003778,"4.98e+03",chr18,21683510,21683597,"+","-",""
"hsa-mir-320c-2",MI0008191,"3.67e+03",chr18,24321686,24321735,"+","-",""
"hsa-mir-320d-1",MI0008190,"3.13e+03",chr13,40727828,40727875,"-","-",""
"hsa-mir-320d-2",MI0008192,"3.14e+03",chrX,140926172,140926219,"-","-",""
"hsa-mir-320e",MI0014234,"1.62e+03",chr19,46709293,46709345,"-","-",""
"hsa-mir-323a",MI0000807,196,chr14,101025732,101025817,"+","",""
"hsa-mir-323b",MI0014206,60.2,chr14,101056219,101056300,"+","-",""
"hsa-mir-324",MI0000813,"1.47e+03",chr17,7223297,7223379,"-","-",""
"hsa-mir-325",MI0000824,42.5,chrX,77005404,77005501,"-","-",""
"hsa-mir-326",MI0000808,128,chr11,75335092,75335186,"-","-",""
"hsa-mir-328",MI0000804,424,chr16,67202321,67202395,"-","",""
"hsa-mir-329-1",MI0001725,198,chr14,101026785,101026864,"+","",""
"hsa-mir-329-2",MI0001726,198,chr14,101027100,101027183,"+","",""
"hsa-mir-330",MI0000803,"2.01e+03",chr19,45638994,45639087,"-","",""
"hsa-mir-331",MI0000812,"1.43e+03",chr12,95308420,95308513,"+","",""
"hsa-mir-335",MI0000816,"1.11e+04",chr7,130496111,130496204,"+","",""
"hsa-mir-337",MI0000806,792,chr14,100874493,100874585,"+","",""
"hsa-mir-338",MI0000814,677,chr17,81125883,81125949,"-","",""
"hsa-mir-339",MI0000815,"2.02e+03",chr7,1022933,1023026,"-","",""
"hsa-mir-340",MI0000802,774,chr5,180015303,180015397,"-","",""
"hsa-mir-342",MI0000805,"1.39e+03",chr14,100109655,100109753,"+","",""
"hsa-mir-345",MI0000825,"2.86e+03",chr14,100307859,100307956,"+","",""
"hsa-mir-346",MI0000826,102,chr10,86264694,86264788,"-","-",""
"hsa-mir-361",MI0000760,"2.44e+03",chrX,85903636,85903707,"-","",""
"hsa-mir-362",MI0000762,673,chrX,50008964,50009028,"+","",""
"hsa-mir-363",MI0000764,"4.72e+03",chrX,134169378,134169452,"-","",""
"hsa-mir-365a",MI0000767,"3.85e+03",chr16,14309285,14309371,"+","",""
"hsa-mir-365b",MI0000769,"3.76e+03",chr17,31575411,31575521,"+","",""
"hsa-mir-367",MI0000775,140,chr4,112647874,112647941,"-","-",""
"hsa-mir-369",MI0000777,468,chr14,101065598,101065667,"+","",""
"hsa-mir-370",MI0000778,179,chr14,100911139,100911213,"+","",""
"hsa-mir-371a",MI0000779,56.4,chr19,53787675,53787741,"+","-",""
"hsa-mir-371b",MI0017393,294,chr19,53787677,53787742,"-","-",""
"hsa-mir-372",MI0000780,108,chr19,53787890,53787956,"+","-",""
"hsa-mir-373",MI0000781,79,chr19,53788705,53788773,"+","-",""
"hsa-mir-374a",MI0000782,"2.01e+03",chrX,74287286,74287357,"-","",""
"hsa-mir-374b",MI0005566,"1.29e+03",chrX,74218547,74218618,"-","",""
"hsa-mir-374c",MI0016684,563,chrX,74218549,74218618,"+","-",""
"hsa-mir-375",MI0000783,"1.05e+03",chr2,219001645,219001708,"-","-",""
"hsa-mir-376a-1",MI0000784,"1.01e+03",chr14,101040782,101040849,"+","",""
"hsa-mir-376a-2",MI0003529,"1.05e+03",chr14,101040069,101040148,"+","",""
"hsa-mir-376b",MI0002466,912,chr14,101040436,101040535,"+","-",""
"hsa-mir-376c",MI0000776,"1.35e+03",chr14,101039690,101039755,"+","",""
"hsa-mir-377",MI0000785,325,chr14,101062050,101062118,"+","",""
"hsa-mir-378a",MI0000786,"7.03e+03",chr5,149732825,149732890,"+","",""
"hsa-mir-378b",MI0014154,"1.17e+03",chr3,10330229,10330285,"+","-",""
"hsa-mir-378c",MI0015825,"3.22e+03",chr10,130962588,130962668,"-","-",""
"hsa-mir-378d-1",MI0016749,"1.76e+03",chr4,5923275,5923328,"-","-",""
"hsa-mir-378d-2",MI0003840,"2.28e+03",chr8,93916022,93916119,"-","-",""
"hsa-mir-378e",MI0016750,726,chr5,170028488,170028566,"+","-",""
"hsa-mir-378f",MI0016756,"1.95e+03",chr1,23929070,23929147,"+","-",""
"hsa-mir-378g",MI0016761,"1.69e+03",chr1,94745860,94745900,"-","-",""
"hsa-mir-378h",MI0016808,609,chr5,154829458,154829540,"+","-",""
"hsa-mir-378i",MI0016902,"1.68e+03",chr22,41923222,41923297,"-","-",""
"hsa-mir-378j",MI0021273,101,chr17,37614931,37615039,"-","-",""
"hsa-mir-379",MI0000787,324,chr14,101022066,101022132,"+","",""
"hsa-mir-380",MI0000788,67,chr14,101025017,101025077,"+","-",""
"hsa-mir-381",MI0000789,486,chr14,101045920,101045994,"+","",""
"hsa-mir-382",MI0000790,523,chr14,101054306,101054381,"+","",""
"hsa-mir-383",MI0000791,196,chr8,14853438,14853510,"-","-",""
"hsa-mir-384",MI0001145,"-",chrX,76919273,76919360,"-","-",""
"hsa-mir-409",MI0001735,443,chr14,101065300,101065378,"+","",""
"hsa-mir-410",MI0002465,159,chr14,101065912,101065991,"+","-",""
"hsa-mir-411",MI0003675,533,chr14,101023325,101023420,"+","",""
"hsa-mir-412",MI0002464,87.3,chr14,101065447,101065537,"+","-",""
"hsa-mir-421",MI0003685,409,chrX,74218377,74218461,"-","-",""
"hsa-mir-422a",MI0001444,140,chr15,63870930,63871019,"-","-",""
"hsa-mir-423",MI0001445,"8.78e+03",chr17,30117079,30117172,"+","",""
"hsa-mir-424",MI0001446,"1.08e+04",chrX,134546614,134546711,"-","",""
"hsa-mir-425",MI0001448,"2.44e+03",chr3,49020148,49020234,"-","",""
"hsa-mir-429",MI0001641,904,chr1,1169005,1169087,"+","-",""
"hsa-mir-431",MI0001721,52.1,chr14,100881007,100881120,"+","",""
"hsa-mir-432",MI0003133,761,chr14,100884483,100884576,"+","-",""
"hsa-mir-433",MI0001723,522,chr14,100881886,100881978,"+","",""
"hsa-mir-448",MI0001637,24.7,chrX,114823454,114823564,"+","-",""
"hsa-mir-449a",MI0001648,197,chr5,55170532,55170622,"-","-",""
"hsa-mir-449b",MI0003673,195,chr5,55170646,55170742,"-","-",""
"hsa-mir-449c",MI0003823,102,chr5,55172262,55172353,"-","-",""
"hsa-mir-450a-1",MI0001652,"1.75e+03",chrX,134540341,134540431,"-","",""
"hsa-mir-450a-2",MI0003187,"1.73e+03",chrX,134540508,134540607,"-","",""
"hsa-mir-450b",MI0005531,482,chrX,134540185,134540262,"-","",""
"hsa-mir-451a",MI0001729,"6.77e+03",chr17,28861369,28861440,"-","-",""
"hsa-mir-451b",MI0017360,150,chr17,28861371,28861438,"+","-",""
"hsa-mir-452",MI0001733,729,chrX,151959628,151959712,"-","-",""
"hsa-mir-454",MI0003820,377,chr17,59137758,59137872,"-","",""
"hsa-mir-455",MI0003513,"3.06e+03",chr9,114209434,114209529,"+","-",""
"hsa-mir-466",MI0014157,65.9,chr3,31161704,31161787,"-","-",""
"hsa-mir-483",MI0002467,"1.11e+03",chr11,2134134,2134209,"-","",""
"hsa-mir-484",MI0002468,"1.36e+03",chr16,15643294,15643372,"+","-",""
"hsa-mir-485",MI0002469,252,chr14,101055419,101055491,"+","",""
"hsa-mir-486-1",MI0002470,"2.87e+03",chr8,41660441,41660508,"-","",""
"hsa-mir-486-2",MI0023622,32.1,chr8,41660444,41660507,"+","-",""
"hsa-mir-487a",MI0002471,71.2,chr14,101052446,101052525,"+","-",""
"hsa-mir-487b",MI0003530,306,chr14,101046455,101046538,"+","",""
"hsa-mir-488",MI0003123,317,chr1,177029363,177029445,"-","",""
"hsa-mir-489",MI0003124,72.4,chr7,93483936,93484019,"-","-",""
"hsa-mir-490",MI0003125,119,chr7,136903167,136903294,"+","",""
"hsa-mir-491",MI0003126,60.6,chr9,20716105,20716188,"+","",""
"hsa-mir-492",MI0003131,324,chr12,94834398,94834513,"+","-",""
"hsa-mir-493",MI0003132,529,chr14,100869060,100869148,"+","",""
"hsa-mir-494",MI0003134,214,chr14,101029634,101029714,"+","",""
"hsa-mir-495",MI0003135,496,chr14,101033755,101033836,"+","",""
"hsa-mir-496",MI0003136,53.9,chr14,101060573,101060674,"+","-",""
"hsa-mir-497",MI0003138,"1.35e+03",chr17,7017911,7018022,"-","",""
"hsa-mir-498",MI0003142,57.2,chr19,53674197,53674320,"+","-",""
"hsa-mir-499a",MI0003183,318,chr20,34990376,34990497,"+","-",""
"hsa-mir-499b",MI0017396,2.07,chr20,34990400,34990472,"-","-",""
"hsa-mir-500a",MI0003184,"1.35e+03",chrX,50008431,50008514,"+","",""
"hsa-mir-500b",MI0015903,272,chrX,50010672,50010750,"+","-",""
"hsa-mir-501",MI0003185,"1.08e+03",chrX,50009722,50009805,"+","-",""
"hsa-mir-502",MI0003186,"1.26e+03",chrX,50014598,50014683,"+","-",""
"hsa-mir-503",MI0003188,"1.59e+03",chrX,134546328,134546398,"-","",""
"hsa-mir-504",MI0003189,80.9,chrX,138667711,138667793,"-","",""
"hsa-mir-505",MI0003190,916,chrX,139924148,139924231,"-","",""
"hsa-mir-506",MI0003193,619,chrX,147230720,147230843,"-","",""
"hsa-mir-507",MI0003194,89.2,chrX,147230984,147231077,"-","-",""
"hsa-mir-508",MI0003195,"5.42e+03",chrX,147236913,147237027,"-","",""
"hsa-mir-509-1",MI0003196,"5.29e+03",chrX,147260532,147260625,"-","",""
"hsa-mir-509-2",MI0005530,"5.14e+03",chrX,147258760,147258850,"-","",""
"hsa-mir-509-3",MI0005717,"9e+03",chrX,147259652,147259726,"-","",""
"hsa-mir-510",MI0003197,159,chrX,147272335,147272408,"-","",""
"hsa-mir-511",MI0003127,78.7,chr10,17845107,17845193,"+","-",""
"hsa-mir-512-1",MI0003140,72.6,chr19,53666679,53666762,"+","-",""
"hsa-mir-512-2",MI0003141,73.1,chr19,53669157,53669254,"+","-",""
"hsa-mir-513a-1",MI0003191,371,chrX,147213463,147213591,"-","-",""
"hsa-mir-513a-2",MI0003192,381,chrX,147225826,147225952,"-","-",""
"hsa-mir-513b",MI0006648,314,chrX,147199044,147199127,"-","-",""
"hsa-mir-513c",MI0006649,329,chrX,147189704,147189787,"-","",""
"hsa-mir-514a-1",MI0003198,"3.49e+03",chrX,147279247,147279344,"-","",""
"hsa-mir-514a-2",MI0003199,"3.21e+03",chrX,147281943,147282030,"-","",""
